ts,model,prompt_tokens,cache_hit_tokens,completion_tokens,peak,cost_cny,seconds
2026-09-23T09:41:00,deepseek-flash,70,0,277,True,0.001178,2.08
2026-09-23T09:41:03,deepseek-flash,64,0,314,True,0.00132,2.3
2026-09-23T09:41:04,deepseek-flash,133,0,190,True,0.000893,1.4
2026-09-23T09:41:14,deepseek-flash,1728,0,60,True,0.001968,0.69
2026-09-23T09:41:16,deepseek-flash,1728,1536,97,True,0.000611,1.11
2026-09-23T10:23:54,deepseek-flash,72,0,540,True,0.002232,2.77
2026-09-23T10:24:00,deepseek-flash,673,0,1115,True,0.005133,5.55
2026-09-23T10:24:11,deepseek-flash,72,0,279,True,0.001188,1.87
2026-09-23T10:24:12,deepseek-flash,670,0,74,True,0.000966,1.06
2026-09-23T10:43:09,deepseek-flash,431,0,1129,True,0.004947,7.41
2026-09-23T10:43:12,deepseek-flash,291,0,592,True,0.002659,3.17
2026-09-23T10:43:18,deepseek-flash,397,0,948,True,0.004189,5.55
2026-09-23T10:43:23,deepseek-flash,568,0,831,True,0.003892,4.36
2026-09-23T10:43:37,deepseek-flash,653,0,2949,True,0.012449,14.03
2026-09-23T10:44:00,deepseek-flash,68,0,472,True,0.001956,3.75
2026-09-23T10:44:09,deepseek-flash,494,0,795,True,0.003674,4.35
2026-09-23T10:44:14,deepseek-flash,503,0,1058,True,0.004735,5.37
2026-09-23T10:44:17,deepseek-flash,295,0,396,True,0.001879,2.9
2026-09-23T10:44:24,deepseek-flash,660,0,1260,True,0.0057,6.38
2026-09-23T10:44:28,deepseek-flash,354,0,838,True,0.003706,4.06
2026-09-23T10:44:44,deepseek-flash,773,0,3462,True,0.014621,15.48
2026-09-23T14:19:31,deepseek-flash,70,0,303,True,0.001282,1.94
2026-09-23T14:19:33,deepseek-flash,537,0,240,True,0.001497,1.93
2026-09-23T14:19:55,deepseek-flash,68,0,190,True,0.000828,1.13
2026-09-23T14:20:00,deepseek-flash,598,0,797,True,0.003786,5.33
2026-09-23T14:20:40,deepseek-flash,225,0,2837,True,0.011573,12.53
2026-09-23T14:20:51,deepseek-flash,206,0,2321,True,0.00949,10.95
2026-09-23T14:21:01,deepseek-flash,198,0,2083,True,0.00853,9.7
2026-09-23T14:21:13,deepseek-flash,227,0,2507,True,0.010255,12.17
2026-09-23T14:21:34,deepseek-flash,207,0,4380,True,0.017727,21.01
2026-09-23T14:21:53,deepseek-flash,250,0,4077,True,0.016558,18.71
2026-09-23T14:21:58,deepseek-flash,238,0,920,True,0.003918,4.77
2026-09-23T14:22:14,deepseek-flash,233,0,3473,True,0.014125,15.81
2026-09-23T14:22:26,deepseek-flash,237,0,2589,True,0.010593,11.94
2026-09-23T14:22:48,deepseek-flash,207,0,5115,True,0.020667,21.42
2026-09-23T14:22:59,deepseek-flash,205,0,2204,True,0.009021,10.78
2026-09-23T14:23:08,deepseek-flash,203,0,1899,True,0.007799,8.51
2026-09-23T14:23:24,deepseek-flash,246,0,3906,True,0.01587,15.99
